,X,x,y
69,69,-1.212808832,-0.207974769
70,70,-1.577297548,0.190101067
71,71,-0.12281854,-0.091854891
72,72,-1.831224386,-0.313803401
73,73,-1.207026855,-1.04756484
74,74,1.442246358,-1.13184374
75,75,0.155857631,-0.686995657
76,76,2.07336105,0.345245894
77,77,0.341534556,-0.367908111
78,78,1.482946352,-0.444453395
79,79,-0.869720632,0.490689431
80,80,-2.033721498,-0.586305873
81,81,-1.877233216,0.420904052
82,82,0.626283064,0.057340306
83,83,-0.170613861,-0.465299271
84,84,0.283465099,0.291823132
85,85,-1.252155154,0.641408828
86,86,-1.171583912,-0.533940698
87,87,-0.520719619,1.68355981
88,88,-0.13911881,-2.109804731
89,89,1.642221945,0.01447835
90,90,1.652805797,0.89337074
91,91,-0.661595267,-0.37479739
92,92,-1.773674174,-0.981160057
93,93,-1.142485042,-0.485288086
94,94,-0.437371264,-1.263796581
95,95,-1.257028146,-1.142318159
96,96,-0.136071805,-0.541539904
97,97,-0.670534532,0.927340808
98,98,1.659331498,-1.736868493
99,99,0.230547066,1.115714996
100,100,2.453228217,0.1055675
101,101,0.9361163,-0.561065059
102,102,-1.364276305,1.204372833
103,103,-1.301100703,0.29659569
104,104,-0.379994609,-0.551005595
105,105,-0.770960016,-1.94476125
106,106,-0.47485035,0.646888361
107,107,-0.618913806,0.487628388
108,108,0.725261316,1.146758087
109,109,-0.126973106,-0.510230394
110,110,0.673793676,1.745527329
111,111,0.315707276,0.272619927
112,112,-0.800049703,0.324320467
113,113,0.818840816,0.997046335
114,114,0.626457607,-0.938748913
115,115,0.728553478,1.590703141
116,116,-0.2290716,-2.049477428
117,117,-0.094267647,-0.622037909
118,118,-0.105472913,-2.330534362
119,119,0.875806592,1.741301634
120,120,-1.904399975,-1.12661033
121,121,-0.042080062,-0.206848935
122,122,0.78235588,1.003821329
123,123,-1.610130431,1.031603659
124,124,1.63036729,0.543027713
125,125,-1.205893473,-1.232681367
126,126,-0.878345429,0.444749342
127,127,-1.147553254,-0.453631948
128,128,0.161196463,0.408955635
129,129,-0.483706817,0.86148405
130,130,0.15269234,0.211276057
131,131,-0.115779188,0.925329543
132,132,0.869212687,0.277926721
133,133,0.277261406,-0.67258205
134,134,0.833179546,-0.604908605
135,135,0.944469974,2.406418393
136,136,-0.158132944,0.644779412
137,137,-0.969829422,1.053375465
138,138,0.055788186,1.003386293
139,139,1.094657826,0.471604102
140,140,1.024471935,-0.464027409
141,141,-1.536757067,-0.834799401
142,142,0.586217181,0.418193065
143,143,-0.575339263,0.064562964
144,144,-0.828339879,-0.452527618
145,145,-0.019232703,-0.356147362
146,146,0.379447447,0.207526752
147,147,-1.293151758,-2.441719259
148,148,0.612138897,0.268143723
149,149,1.445562583,-1.631528172
150,150,0.259428571,3.598568581
151,151,-0.489890367,-0.749080283
152,152,0.410439989,-0.767411134
153,153,1.944181556,-2.02611646
154,154,1.38280389,0.293410837
155,155,-1.657758845,-1.76906936
156,156,1.005929978,0.757505122
157,157,0.394897302,0.998869514
158,158,1.765642312,-0.255735629
159,159,-1.619752332,-0.071725011
160,160,-1.558998954,-0.264474453
161,161,-0.102910461,-1.221039062
162,162,0.17538966,-0.332650885
163,163,-0.802076107,-0.561708603
164,164,-1.454582807,1.366378418
165,165,1.195321993,1.086885183
166,166,0.989250662,-0.668495157
167,167,-0.925791868,0.740175239
168,168,0.844262442,0.367544631
169,169,0.351647467,0.547064704
170,170,0.068191311,-0.672002408
171,171,-0.485863965,-0.238175125
172,172,0.997945759,-0.213948051
173,173,-0.038635103,1.198746401
174,174,0.434509543,-1.382593193
175,175,1.421759976,-0.439578439
176,176,0.472990958,0.206214312
177,177,0.986859774,-0.393875995
178,178,-1.328939446,-0.142607099
179,179,-1.041048469,0.784723347
180,180,-0.149431264,0.178360061
181,181,-1.279086414,0.54002828
182,182,-1.325236309,-2.109408887
183,183,0.919863066,0.306528729
184,184,1.357687419,-0.855735131
185,185,-1.651220973,0.350556572
186,186,1.617193387,0.9318704
187,187,0.029671175,-0.807445064
188,188,-1.611375981,-0.360642483
189,189,1.84787295,-0.611064367
190,190,-0.035508268,0.931128377
191,191,-0.461100005,-0.1888688
192,192,0.620073676,0.209860219
193,193,-0.846512719,-0.270646431
194,194,-0.74242081,-0.304018492
195,195,-0.665671157,1.93434893
196,196,0.117098015,0.687677219
197,197,-0.144154207,-1.286947422
198,198,-0.700567701,-0.316441799
199,199,1.401968164,1.49030656
200,200,0.350808493,1.418771124
201,201,0.105993353,1.176878182
202,202,0.447168847,0.02274513
203,203,-0.398158974,-2.519379686
204,204,0.768777014,-0.270670843
205,205,1.519602684,1.835437896
206,206,0.15620923,-0.157198809
207,207,1.148982625,-0.892506372
208,208,0.048544388,1.366440139
209,209,-0.287484421,-0.042085605
210,210,-0.148320581,-0.517155537
211,211,-0.605800781,-0.313064057
212,212,-0.473094748,0.670895099
213,213,-0.623524625,0.050991331
214,214,1.201166757,-0.769507889
215,215,-0.770531812,-0.444976961
216,216,0.902653337,0.418760577
217,217,-1.729871959,0.215420688
218,218,0.019507497,0.033636979
219,219,-0.543314682,0.064532101
220,220,-0.252066429,-0.277518843
221,221,0.437238711,-0.999775757
222,222,1.529949266,-1.743427939
223,223,0.434104068,0.504318885
224,224,0.822797469,0.078944369
225,225,-1.245378685,-0.242994902
226,226,0.024439947,1.252377982
227,227,-0.543386109,-0.51238236
228,228,-1.2849459,-0.161462291
229,229,1.706309482,-0.407479415
230,230,1.217865609,0.570501673
231,231,-1.167919533,-1.252131873
232,232,-0.489325996,0.439965342
233,233,1.084718119,-0.361787561
234,234,-1.671480237,0.521713973
235,235,1.342947459,0.699906398
236,236,-0.714634845,-0.014671557
237,237,1.006206197,-1.324608484
238,238,1.887847833,0.416157179
239,239,-0.648650296,-1.657730048
240,240,0.351140844,2.157681488
241,241,0.096212306,-0.957407438
242,242,0.289112338,-0.226344753
243,243,-1.210930002,0.977268362
244,244,0.111670291,-2.58823188
245,245,0.741508132,-1.566713008
246,246,-1.15155561,0.608496871
247,247,0.343059435,1.665603539
248,248,-0.234483313,0.404693439
249,249,-1.444884818,-1.44157252
250,250,0.029138816,2.322873627
251,251,0.039121472,-4.524401004
252,252,-5.151515153,-0.121956192
253,253,-4.827294031,-2.154215889
254,254,0.776617417,-4.979278239
255,255,-4.403025091,-2.725942971
256,256,3.96258787,-3.171264937
257,257,-1.393450928,-4.381370366
258,258,2.385727516,-4.393293914
259,259,0.4870636,5.000167674
260,260,4.562648948,2.609984982
261,261,-3.978350143,3.125263664
262,262,2.4833605,4.304899916
263,263,-3.4904594,3.472787991
264,264,-1.063433099,-4.976375079
265,265,4.010861242,3.383798836
266,266,4.916907514,0.860295658
267,267,2.119622729,-4.470769849
268,268,1.539755658,4.427778289
269,269,-2.272351094,-4.218918981
270,270,2.923120655,4.100812257
271,271,4.55064469,1.27039092
272,272,5.099567451,-0.995157083
273,273,-0.700607517,-5.028880042
274,274,-1.156526187,-5.204126799
275,275,1.806920765,4.836428553
276,276,-4.884393304,0.924007863
277,277,-3.764684009,3.384979901
278,278,-3.314567508,-3.437420091
279,279,-1.788024717,4.824942155
280,280,-3.538718846,-4.325536894
281,281,0.005619592,-4.9586358
282,282,-4.20808553,-3.096887527
283,283,0.174343515,-5.195112012
284,284,-4.972207002,-0.016273625
285,285,4.315187457,-2.222277699
286,286,4.774991828,-1.475374675
287,287,-4.342344369,1.746064349
288,288,-1.019676098,-4.413779165
289,289,3.471475963,2.866135569
290,290,-3.882831531,-3.41501058
291,291,5.050626401,-0.690121692
292,292,1.397408446,4.360647709
293,293,0.673585293,-4.439465174
294,294,-0.714132984,-4.685930046
295,295,-1.08516369,5.033518088
296,296,-3.839396306,-3.311888685
297,297,1.427186124,-4.539431544
298,298,4.781408708,-2.236973177
299,299,-4.336887984,2.175650044
300,300,-4.27898389,-2.319914635
301,301,-4.026660494,3.544276103
302,302,0.334457693,5.482045774
303,303,4.528784612,-2.440721159
304,304,4.468477453,-3.126171856
305,305,2.07818716,-4.591243522
306,306,-3.076136845,4.108933343
307,307,-1.695572559,4.740824838
308,308,-4.568434991,-0.309910406
309,309,-4.996357183,-0.741611745
310,310,-0.014881672,5.120513589
311,311,1.666564667,4.620706953
312,312,3.330045511,3.667409917
313,313,-2.328086679,3.953589077
314,314,1.213837383,-4.735345961
315,315,-5.112050291,-1.286740469
316,316,-4.836989431,-0.190894614
317,317,-4.569565379,-1.795366327
318,318,-2.364399129,4.853047857
319,319,4.080173531,3.379190292
320,320,4.999117707,-1.331758423
321,321,-4.245198384,2.271467607
322,322,-4.711749553,1.005198996
323,323,0.309689298,-4.835771718
324,324,-4.950908789,-0.154716223
325,325,-3.777599326,3.522216309
326,326,2.968025975,-4.073509862
327,327,5.019293905,0.422984936
328,328,-4.02278443,2.924513378
329,329,4.064810628,-2.757118699
330,330,-4.414755436,3.136344286
331,331,-3.685626767,3.134243626
332,332,-0.594511825,5.353881144
333,333,2.612395746,4.076244474

